refDes,temperature,salinity,conductivity,density,oxygen,sea_water_pressure,nitrate,chlorophyll,par,pco2,ph,spectral_irradiance_412nm,spectral_irradiance_443nm,spectral_irradiance_490nm,spectral_irradiance_510nm,spectral_irradiance_555nm,spectral_irradiance_620nm,spectral_irradiance_683nm,velocity_east,velocity_north,velocity_up,percent_good_beam,echo_intensity,correlation_magnitude,error_seawater_velocity,resistivity,cdom,backscatter,vent_temperature,seafloor_pressure,seawater_pressure_mbar,bottom_pressure_psi,mean_seafloor_depth,seafloor_uplift_10m,seafloor_uplift_5m,seafloor_uplift_predicted_tide,dark_counts,ratios
RS01SUM1-LJ01B-12-VEL3DB104,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,,,,,,,,,,,,,,,,
RS03AXBS-MJ03A-12-VEL3DB301,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,,,,,,,,,,,,,,,,
RS03INT2-MJ03D-12-VEL3DB304,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,,,,,,,,,,,,,,,,
RS03ASHS-MJ03B-09-BOTPTA304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[2272,2287]}","{'local':[1545,1555]}","{'local':[-0.1,0.1]}","{'local':[-0.1,0.1]}","{'local':[-10,15]}",,
RS03CCAL-MJ03F-05-BOTPTA301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[2272,2287]}","{'local':[1545,1555]}","{'local':[-0.1,0.1]}","{'local':[-0.1,0.1]}","{'local':[-10,15]}",,
RS03ECAL-MJ03E-06-BOTPTA302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[2272,2287]}","{'local':[1545,1555]}","{'local':[-0.1,0.1]}","{'local':[-0.1,0.1]}","{'local':[-10,15]}",,
RS03INT2-MJ03D-06-BOTPTA303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[2272,2287]}","{'local':[1545,1555]}","{'local':[-0.1,0.1]}","{'local':[-0.1,0.1]}","{'local':[-10,15]}",,
RS03AXPS-SF03A-3B-OPTAAD301,"{'local_profile':[5,19]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[400,800]}","{'local':[0,100]}"
CE04OSPS-SF01B-3B-OPTAAD105,"{'local_profile':[5,19]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[400,800]}","{'local':[0,100]}"
RS01SBPS-SF01A-3B-OPTAAD101,"{'local_profile':[5,19]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[400,800]}","{'local':[0,100]}"
